"time","heart_rate"
2015-04-03 08:48:04,93
2015-04-03 08:48:09,98
2015-04-03 08:48:14,100
2015-04-03 08:48:19,101
2015-04-03 08:48:24,101
2015-04-03 08:48:29,101
2015-04-03 08:48:34,91
2015-04-03 08:48:39,90
2015-04-03 08:48:44,103
2015-04-03 08:48:49,103
2015-04-03 08:48:54,101
2015-04-03 08:48:59,105
2015-04-03 08:49:04,107
2015-04-03 08:49:09,105
2015-04-03 08:49:14,107
2015-04-03 08:49:19,106
2015-04-03 08:49:24,104
2015-04-03 08:49:29,94
2015-04-03 08:49:34,92
2015-04-03 08:49:39,92
2015-04-03 08:49:44,94
2015-04-03 08:49:49,92
2015-04-03 08:49:54,87
2015-04-03 08:49:59,99
2015-04-03 08:50:04,102
2015-04-03 08:50:09,98
2015-04-03 08:50:14,105
2015-04-03 08:50:19,103
2015-04-03 08:50:24,105
2015-04-03 08:50:29,101
2015-04-03 08:50:34,97
2015-04-03 08:50:39,104
2015-04-03 08:50:44,103
2015-04-03 08:50:49,101
2015-04-03 08:50:54,101
2015-04-03 08:50:59,88
2015-04-03 08:51:04,85
2015-04-03 08:51:09,84
2015-04-03 08:51:14,82
2015-04-03 08:51:19,84
2015-04-03 08:51:24,82
2015-04-03 08:51:29,84
2015-04-03 08:51:34,89
2015-04-03 08:51:39,87
2015-04-03 08:51:44,90
2015-04-03 08:51:49,86
2015-04-03 08:51:54,90
2015-04-03 08:51:59,86
2015-04-03 08:52:04,82
2015-04-03 08:52:09,83
2015-04-03 08:52:14,86
2015-04-03 08:52:19,83
2015-04-03 08:52:24,78
2015-04-03 08:52:29,86
2015-04-03 08:52:34,86
2015-04-03 08:52:39,87
2015-04-03 08:52:44,95
2015-04-03 08:52:49,93
2015-04-03 08:52:54,87
2015-04-03 08:52:59,89
2015-04-03 08:53:04,84
2015-04-03 08:53:09,89
2015-04-03 08:53:14,87
2015-04-03 08:53:19,84
2015-04-03 08:53:24,86
2015-04-03 08:53:29,88
2015-04-03 08:53:34,86
2015-04-03 08:53:39,89
2015-04-03 08:53:44,89
2015-04-03 08:53:49,89
2015-04-03 08:53:54,83
2015-04-03 08:53:59,83
2015-04-03 08:54:04,83
2015-04-03 08:54:09,82
2015-04-03 08:54:14,82
2015-04-03 08:54:19,78
2015-04-03 08:54:24,80
2015-04-03 08:54:29,77
2015-04-03 08:54:34,83
2015-04-03 08:54:39,85
2015-04-03 08:54:44,80
2015-04-03 08:54:49,83
2015-04-03 08:54:54,89
2015-04-03 08:54:59,83
2015-04-03 08:55:04,82
2015-04-03 08:55:09,84
2015-04-03 08:55:14,84
2015-04-03 08:55:19,82
2015-04-03 08:55:24,81
2015-04-03 08:55:29,82
2015-04-03 08:55:34,83
2015-04-03 08:55:39,80
2015-04-03 08:55:44,78
2015-04-03 08:55:49,79
2015-04-03 08:55:54,78
2015-04-03 08:55:59,77
2015-04-03 08:56:04,78
2015-04-03 08:56:09,80
2015-04-03 08:56:14,79
2015-04-03 08:56:19,77
2015-04-03 08:56:24,79
2015-04-03 08:56:29,81
2015-04-03 08:56:34,81
2015-04-03 08:56:39,82
2015-04-03 08:56:44,85
2015-04-03 08:56:49,88
2015-04-03 08:56:54,96
2015-04-03 08:56:59,108
2015-04-03 08:57:04,112
2015-04-03 08:57:09,107
2015-04-03 08:57:14,103
2015-04-03 08:57:19,104
2015-04-03 08:57:24,107
2015-04-03 08:57:29,101
2015-04-03 08:57:34,97
2015-04-03 08:57:39,87
2015-04-03 08:57:44,83
2015-04-03 08:57:49,81
2015-04-03 08:57:54,89
2015-04-03 08:57:59,91
2015-04-03 08:58:04,86
2015-04-03 08:58:09,83
2015-04-03 08:58:14,82
2015-04-03 08:58:19,81
2015-04-03 08:58:24,82
2015-04-03 08:58:29,79
2015-04-03 08:58:34,79
2015-04-03 08:58:39,78
2015-04-03 08:58:44,85
2015-04-03 08:58:49,84
2015-04-03 08:58:54,82
2015-04-03 08:58:59,87
2015-04-03 08:59:04,88
2015-04-03 08:59:09,84
2015-04-03 08:59:14,79
2015-04-03 08:59:19,79
2015-04-03 08:59:24,79
2015-04-03 08:59:29,84
2015-04-03 08:59:34,83
2015-04-03 08:59:39,81
2015-04-03 08:59:44,81
2015-04-03 08:59:49,82
2015-04-03 08:59:54,81
2015-04-03 08:59:59,82
2015-04-03 09:00:04,81
2015-04-03 09:00:09,84
2015-04-03 09:00:14,86
2015-04-03 09:00:19,84
2015-04-03 09:00:24,82
2015-04-03 09:00:29,79
2015-04-03 09:00:34,78
2015-04-03 09:00:39,82
2015-04-03 09:00:44,83
2015-04-03 09:00:49,83
2015-04-03 09:00:54,88
2015-04-03 09:00:59,100
2015-04-03 09:01:04,101
2015-04-03 09:01:09,104
2015-04-03 09:01:14,99
2015-04-03 09:01:19,98
2015-04-03 09:01:24,94
2015-04-03 09:01:29,86
2015-04-03 09:01:34,86
2015-04-03 09:01:39,97
2015-04-03 09:01:44,95
2015-04-03 09:01:49,89
2015-04-03 09:01:54,83
2015-04-03 09:01:59,83
2015-04-03 09:02:04,85
2015-04-03 09:02:09,84
2015-04-03 09:02:14,82
2015-04-03 09:02:19,85
2015-04-03 09:02:24,92
2015-04-03 09:02:29,91
2015-04-03 09:02:34,92
2015-04-03 09:02:39,86
2015-04-03 09:02:44,82
2015-04-03 09:02:49,81
2015-04-03 09:02:54,87
2015-04-03 09:02:59,90
2015-04-03 09:03:04,87
2015-04-03 09:03:09,84
2015-04-03 09:03:14,86
2015-04-03 09:03:19,86
2015-04-03 09:03:24,85
2015-04-03 09:03:29,85
2015-04-03 09:03:34,85
2015-04-03 09:03:39,85
2015-04-03 09:03:44,87
2015-04-03 09:03:49,86
2015-04-03 09:03:54,87
2015-04-03 09:03:59,87
2015-04-03 09:04:04,88
2015-04-03 09:04:09,89
2015-04-03 09:04:14,86
2015-04-03 09:04:19,86
2015-04-03 09:04:24,92
2015-04-03 09:04:29,99
2015-04-03 09:04:34,94
2015-04-03 09:04:39,88
2015-04-03 09:04:44,83
2015-04-03 09:04:49,85
2015-04-03 09:04:54,85
2015-04-03 09:04:59,83
2015-04-03 09:05:04,82
2015-04-03 09:05:09,88
2015-04-03 09:05:14,92
2015-04-03 09:05:19,97
2015-04-03 09:05:24,98
2015-04-03 09:05:29,94
2015-04-03 09:05:34,101
2015-04-03 09:05:39,97
2015-04-03 09:05:44,103
2015-04-03 09:05:49,106
2015-04-03 09:05:54,112
2015-04-03 09:05:59,108
2015-04-03 09:06:04,109
2015-04-03 09:06:09,106
2015-04-03 09:06:14,89
2015-04-03 09:06:19,90
2015-04-03 09:06:24,81
2015-04-03 09:06:29,88
2015-04-03 09:06:34,90
2015-04-03 09:06:39,90
2015-04-03 09:06:44,95
2015-04-03 09:06:49,85
2015-04-03 09:06:54,93
2015-04-03 09:06:59,92
2015-04-03 09:07:04,84
2015-04-03 09:07:09,87
2015-04-03 09:07:14,84
2015-04-03 09:07:19,77
2015-04-03 09:07:24,94
2015-04-03 09:07:29,85
2015-04-03 09:07:34,86
2015-04-03 09:07:39,84
2015-04-03 09:07:44,85
2015-04-03 09:07:49,87
2015-04-03 09:07:54,90
2015-04-03 09:07:59,90
2015-04-03 09:08:04,91
2015-04-03 09:08:09,94
2015-04-03 09:08:14,90
2015-04-03 09:08:19,80
2015-04-03 09:08:24,80
2015-04-03 09:08:29,87
2015-04-03 09:08:34,96
2015-04-03 09:08:39,105
2015-04-03 09:08:44,115
2015-04-03 09:08:49,112
2015-04-03 09:08:54,106
2015-04-03 09:08:59,100
2015-04-03 09:09:04,97
2015-04-03 09:09:09,105
2015-04-03 09:09:14,106
2015-04-03 09:09:19,100
2015-04-03 09:09:24,95
2015-04-03 09:09:29,102
2015-04-03 09:09:34,104
2015-04-03 09:09:39,106
2015-04-03 09:09:44,94
2015-04-03 09:09:49,95
2015-04-03 09:09:54,80
2015-04-03 09:09:59,76
2015-04-03 09:10:04,77
2015-04-03 09:10:09,86
2015-04-03 09:10:14,82
2015-04-03 09:10:19,88
2015-04-03 09:10:24,108
2015-04-03 09:10:29,105
2015-04-03 09:10:34,110
2015-04-03 09:10:39,122
2015-04-03 09:10:44,109
2015-04-03 09:10:49,114
2015-04-03 09:10:54,124
2015-04-03 09:10:59,111
2015-04-03 09:11:04,95
2015-04-03 09:11:09,105
2015-04-03 09:11:14,104
2015-04-03 09:11:19,104
2015-04-03 09:11:24,104
2015-04-03 09:11:29,103
2015-04-03 09:11:34,108
2015-04-03 09:11:39,99
2015-04-03 09:11:44,95
2015-04-03 09:11:49,102
2015-04-03 09:11:54,108
2015-04-03 09:11:59,96
2015-04-03 09:12:04,100
2015-04-03 09:12:09,97
2015-04-03 09:12:14,102
2015-04-03 09:12:19,100
2015-04-03 09:12:24,98
2015-04-03 09:12:29,95
2015-04-03 09:12:34,95
